DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220224,2022-02-24,2022,1,2,Feb,Feb-2022,8,24,Thursday,False,FY22,Winter,False
20220225,2022-02-25,2022,1,2,Feb,Feb-2022,8,25,Friday,False,FY22,Winter,False
20220226,2022-02-26,2022,1,2,Feb,Feb-2022,8,26,Saturday,True,FY22,Winter,False
20220227,2022-02-27,2022,1,2,Feb,Feb-2022,8,27,Sunday,True,FY22,Winter,False
20220228,2022-02-28,2022,1,2,Feb,Feb-2022,9,28,Monday,False,FY22,Winter,False
20220301,2022-03-01,2022,1,3,Mar,Mar-2022,9,1,Tuesday,False,FY22,Summer,False
20220302,2022-03-02,2022,1,3,Mar,Mar-2022,9,2,Wednesday,False,FY22,Summer,False
20220303,2022-03-03,2022,1,3,Mar,Mar-2022,9,3,Thursday,False,FY22,Summer,False
20220304,2022-03-04,2022,1,3,Mar,Mar-2022,9,4,Friday,False,FY22,Summer,False
20220305,2022-03-05,2022,1,3,Mar,Mar-2022,9,5,Saturday,True,FY22,Summer,False
20220306,2022-03-06,2022,1,3,Mar,Mar-2022,9,6,Sunday,True,FY22,Summer,False
20220307,2022-03-07,2022,1,3,Mar,Mar-2022,10,7,Monday,False,FY22,Summer,False
20220308,2022-03-08,2022,1,3,Mar,Mar-2022,10,8,Tuesday,False,FY22,Summer,False
20220309,2022-03-09,2022,1,3,Mar,Mar-2022,10,9,Wednesday,False,FY22,Summer,False
20220310,2022-03-10,2022,1,3,Mar,Mar-2022,10,10,Thursday,False,FY22,Summer,False
20220311,2022-03-11,2022,1,3,Mar,Mar-2022,10,11,Friday,False,FY22,Summer,False
20220312,2022-03-12,2022,1,3,Mar,Mar-2022,10,12,Saturday,True,FY22,Summer,False
20220313,2022-03-13,2022,1,3,Mar,Mar-2022,10,13,Sunday,True,FY22,Summer,False
20220314,2022-03-14,2022,1,3,Mar,Mar-2022,11,14,Monday,False,FY22,Summer,False
20220315,2022-03-15,2022,1,3,Mar,Mar-2022,11,15,Tuesday,False,FY22,Summer,False
